serial:no,age,gender,year_in_school,major,monthly_income,tuition,financial_aid,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,expense,savings,preferred_payment_method
0,19,Non-binary,Freshman,Psychology,5939,958,270,709,296,123,188,41,78,134,127,2924,3015,Credit/Debit Card
1,24,Female,Junior,Economics,4908,1006,875,557,365,85,252,74,92,226,129,3661,1247,Credit/Debit Card
2,24,Non-binary,Junior,Economics,3051,734,928,666,220,137,99,130,23,239,112,3288,-237,Cash
3,23,Female,Senior,Computer Science,4935,617,265,652,289,114,223,99,30,163,105,2557,2378,Mobile Payment App
4,20,Female,Senior,Computer Science,3887,810,522,825,372,168,194,48,71,88,71,3169,718,Credit/Debit Card
5,25,Non-binary,Sophomore,Computer Science,3151,523,790,413,386,122,131,73,38,234,108,2818,333,Mobile Payment App
6,23,Female,Freshman,Engineering,4973,1354,69,812,398,101,213,21,38,157,117,3280,1693,Credit/Debit Card
7,23,Female,Junior,Economics,3966,631,748,571,269,92,251,37,90,152,56,2897,1069,Mobile Payment App
8,22,Non-binary,Senior,Computer Science,5638,1402,248,599,354,82,155,123,41,162,172,3338,2300,Credit/Debit Card
9,18,Female,Junior,Computer Science,3977,1423,74,626,249,117,123,51,74,243,34,3014,963,Mobile Payment App
10,23,Male,Junior,Biology,4093,762,615,660,262,58,183,98,21,274,66,2999,1094,Credit/Debit Card
11,25,Male,Freshman,Engineering,5138,1068,19,734,243,200,228,57,57,209,193,3008,2130,Credit/Debit Card
12,21,Male,Sophomore,Economics,4863,719,540,894,280,120,126,41,50,78,113,2961,1902,Credit/Debit Card
13,19,Female,Junior,Biology,5201,1176,859,626,234,50,274,20,77,125,199,3640,1561,Mobile Payment App
14,24,Non-binary,Freshman,Economics,5301,1496,75,657,151,63,92,124,64,196,50,2968,2333,Cash
15,22,Non-binary,Sophomore,Computer Science,4175,1227,26,884,328,167,175,111,96,73,154,3241,934,Cash
16,23,Female,Freshman,Psychology,5450,1419,237,883,361,200,141,76,22,285,185,3809,1641,Cash
17,21,Female,Freshman,Computer Science,3538,1454,851,754,357,110,188,33,24,50,74,3895,-357,Mobile Payment App
18,19,Female,Sophomore,Psychology,4401,1487,311,883,292,69,51,75,60,105,181,3514,887,Credit/Debit Card
19,20,Female,Senior,Engineering,3131,1157,401,886,196,131,216,57,39,264,39,3386,-255,Mobile Payment App
20,19,Male,Junior,Psychology,4206,1180,732,597,254,195,67,51,21,97,185,3379,827,Credit/Debit Card
21,24,Male,Sophomore,Computer Science,4878,516,549,814,286,180,282,55,25,77,73,2857,2021,Mobile Payment App
22,18,Non-binary,Sophomore,Biology,4998,1225,610,473,159,134,294,37,86,159,60,3237,1761,Cash
23,24,Non-binary,Senior,Economics,4210,582,285,421,348,138,143,62,85,218,113,2395,1815,Credit/Debit Card
24,19,Female,Senior,Economics,4500,1062,56,731,238,103,76,111,95,238,74,2784,1716,Mobile Payment App
25,25,Female,Junior,Biology,5486,1054,528,789,400,81,211,95,74,237,140,3609,1877,Mobile Payment App
26,20,Male,Senior,Economics,3541,667,690,762,173,185,288,53,38,84,159,3099,442,Credit/Debit Card
27,20,Female,Junior,Psychology,5616,796,705,664,291,179,260,127,21,113,194,3350,2266,Credit/Debit Card
28,24,Non-binary,Sophomore,Psychology,4156,905,671,444,163,131,141,132,31,156,95,2869,1287,Credit/Debit Card
29,23,Non-binary,Junior,Engineering,3099,531,448,742,394,179,95,64,62,73,104,2692,407,Mobile Payment App
30,23,Non-binary,Freshman,Economics,5943,1426,3,677,296,110,137,146,21,155,105,3076,2867,Mobile Payment App
31,23,Male,Sophomore,Psychology,5417,1465,302,468,113,190,134,119,82,276,165,3314,2103,Mobile Payment App
32,24,Non-binary,Junior,Computer Science,5236,522,555,860,169,133,147,123,48,138,89,2784,2452,Credit/Debit Card
33,25,Female,Freshman,Economics,5615,1338,110,468,325,158,244,98,46,231,183,3201,2414,Cash
34,23,Male,Junior,Biology,3222,1363,365,695,185,166,99,116,68,77,31,3165,57,Mobile Payment App
35,21,Male,Freshman,Biology,3090,1328,320,718,254,93,204,74,30,228,60,3309,-219,Cash
36,22,Male,Sophomore,Engineering,3931,1350,675,462,372,147,282,149,92,269,105,3903,28,Cash
37,23,Non-binary,Senior,Computer Science,5160,1309,265,600,178,148,186,88,78,242,54,3148,2012,Cash
38,21,Female,Senior,Biology,5344,965,251,695,249,88,249,49,29,298,96,2969,2375,Cash
39,20,Female,Senior,Engineering,5733,600,392,791,309,178,67,22,29,142,74,2604,3129,Mobile Payment App
40,24,Female,Freshman,Engineering,5696,605,118,653,165,189,151,86,82,117,83,2249,3447,Mobile Payment App
41,25,Male,Sophomore,Economics,5332,804,140,517,289,147,153,125,43,159,44,2421,2911,Cash
42,23,Female,Sophomore,Economics,4639,1274,449,755,137,55,249,103,50,176,67,3315,1324,Cash
43,23,Male,Junior,Psychology,3958,509,942,511,391,192,264,57,85,108,115,3174,784,Credit/Debit Card
44,23,Female,Senior,Economics,3823,1285,881,740,253,182,230,32,92,118,34,3847,-24,Credit/Debit Card
45,18,Male,Freshman,Computer Science,3854,929,348,590,204,196,183,129,80,163,116,2938,916,Credit/Debit Card
46,25,Non-binary,Freshman,Psychology,4951,1163,235,549,261,86,185,102,21,252,31,2885,2066,Cash
47,19,Male,Senior,Psychology,5269,1195,745,920,167,57,88,113,60,242,35,3622,1647,Mobile Payment App
48,25,Male,Junior,Psychology,4141,1036,260,918,122,86,105,62,88,90,169,2936,1205,Cash
49,24,Female,Junior,Economics,4875,588,211,604,163,101,198,89,23,128,62,2167,2708,Mobile Payment App
